timestamp,tweet_text,username,all_hashtags
2019-03-14 15:42:20,I'll take one in medium #FacebookDown #InstagramDown #SocialMedia #Survivor https://t.co/djlGEc6GYp,JobberForHire,"['FacebookDown', 'InstagramDown', 'SocialMedia', 'Survivor']"
2019-03-14 15:39:16,You will always remember where you were when Facebook and Instagram went down for a couple hours. #FacebookDown #instagramdown #InstagramBlackout2019 #theendisnear,shoutoutbyFolly,"['FacebookDown', 'instagramdown', 'InstagramBlackout2019', 'theendisnear']"
2019-03-14 15:39:00,Need a great book to read?  THE FAKE DATE   A date that left her fighting for her life...!  https://t.co/2MjdULZmgf  #thriller #suspense @RubyFiction  #WomenSupportingWomen #ThursdayThoughts #PsychologicalThriller #FacebookDown #instagramdown #Yorkshire #Scarborough #lovesuspense https://t.co/dIo91DxI0p,LyndaStacey,"['thriller', 'suspense', 'WomenSupportingWomen', 'ThursdayThoughts', 'PsychologicalThriller', 'FacebookDown', 'instagramdown', 'Yorkshire', 'Scarborough', 'lovesuspense']"
2019-03-14 15:38:32,Is @instagram &amp; @facebook down for anyone or is it just me?  #Instagram #instagramblackout #instagramshutdown #instagramdown #instagramisback #facebookoutage #facebook #FacebookBlackout2019 #FacebookUp #facebookcrash #FacebookandInstagram #FacebookDown,UABJacob,"['Instagram', 'instagramblackout', 'instagramshutdown', 'instagramdown', 'instagramisback', 'facebookoutage', 'facebook', 'FacebookBlackout2019', 'FacebookUp', 'facebookcrash', 'FacebookandInstagram', 'FacebookDown']"
2019-03-14 15:37:33,"Be honest, who panicked with Instagram and Facebook down for several hours yesterday 😂 #facebookdown #instagramdown #behonest",CorneliSeigneur,"['facebookdown', 'instagramdown', 'behonest']"
2019-03-14 15:37:16,⁦@Twitter⁩ is the only place that’s actually up? #wow #FacebookDown #instagramdown #whataday #howsyours https://t.co/kMKAc6l6PY,Nicky_s_World,"['wow', 'FacebookDown', 'instagramdown', 'whataday', 'howsyours']"
2019-03-14 15:36:35,When Facebook and Instagram went down for a day #instagramdown #FacebookDown #whatsappdown https://t.co/U0dsUmjQZZ,majorsmesshall,"['instagramdown', 'FacebookDown', 'whatsappdown']"
2019-03-14 15:36:10,The real reason for the @facebook @instagram outage yesterday.  The DARPA LifeLog crew on cleanup.  #FacebookDown #Instagramdown  #QAnon #QArmy #WWG1WGA  Facebook’s Data Deals Are Under Criminal Investigation https://t.co/AmvzslN0OH,HungryTrucker,"['FacebookDown', 'Instagramdown', 'QAnon', 'QArmy', 'WWG1WGA']"
2019-03-14 15:35:39,Reading these tweets that Twitter was banging yesterday has me like 🤔. Twitter is my go to app. #teamtwitter #FacebookDown #instagramdown,JimReagh,"['teamtwitter', 'FacebookDown', 'instagramdown']"
2019-03-14 15:35:14,when life so dope...you didn't know that #InstagramDown &amp;  #FacebookDown was even happenin cause you were too busy being SOCIAL n' enjoyin life in REAL TIME! https://t.co/FGN864iIfv,JustCuriousPoe,"['InstagramDown', 'FacebookDown']"
2019-03-14 15:35:10,@WhiteHouse #Facebookdown and #instagramdown was the national emergency. That was probably facebook/instagram users trying to see if the problem was their #wifi,DSMarcusTullius,"['Facebookdown', 'instagramdown', 'wifi']"
2019-03-14 15:34:13,"#instagramdown &amp; #FacebookDown and everyone's talking about not being so dependant on these things.  But let's be real.  Most of y'all still ended up either here on Twitter or on Whatsapp or iMessage.  It's not like y'all put your phones down, went outside and smelled the roses.",TyroneLT,"['instagramdown', 'FacebookDown']"
2019-03-14 15:34:01,Must Watch since facebooks down... #instagramdown #technology #ThursdayThoughts #Cheat #FacebookDown #Facebook #facebookisdown #facebookdown ddos https://t.co/WPeCbTBMWF,Slasher_Gore,"['instagramdown', 'technology', 'ThursdayThoughts', 'Cheat', 'FacebookDown', 'Facebook', 'facebookisdown', 'facebookdown']"
2019-03-14 15:32:03,So Instagram and Facebook went down yesterday to prepare for the new #AvengersEndgame trailer. That explains it. 🤣🤣🤣 #InstagramDown #FacebookDown,RaNCaN23,"['AvengersEndgame', 'InstagramDown', 'FacebookDown']"
2019-03-14 15:30:33,Just checking to see whether Facebook &amp; Instagram are still down...  Make it a great Thursday both ON and OFF of social media! #FacebookDown #InstagramDown #ThursdayThoughts https://t.co/nyM5UkWYLf,ToYourHealthDrG,"['FacebookDown', 'InstagramDown', 'ThursdayThoughts']"
2019-03-14 15:29:39,Literally everyone when #facebookdown and #instagramdown happened https://t.co/o5QMgGTPpH,robertjameslife,"['facebookdown', 'instagramdown']"
2019-03-14 15:29:33,Pastors everywhere realizing #FacebookDown and #instagramdown will be added to their Sunday sermons as a perfect illustration on idolatry. https://t.co/nf9f5EDU8c,PastorMichaelS4,"['FacebookDown', 'instagramdown']"
2019-03-14 15:28:46,Is anyone else's @instagram still being slow and not letting them message or post?  #instagramdown #FacebookDown https://t.co/PXk7aHX12a,igdownagain,"['instagramdown', 'FacebookDown']"
2019-03-14 15:28:28,#instagramdown  #FacebookDown  But thank GOD #Twitter dey. https://t.co/nwZTNt3f6V,sahabogotel,"['instagramdown', 'FacebookDown', 'Twitter']"
2019-03-14 15:27:25,Mercury Retrograde victims...Facebook &amp; Instagram.  #oops #FacebookDown #InstagramDown #PsychicMediumApril #IntuitiveApril #psychichousewife #paranormalinvestigation #psychicmedium… https://t.co/J8e6T5CBRW,Intuitive_April,"['oops', 'FacebookDown', 'InstagramDown', 'PsychicMediumApril', 'IntuitiveApril', 'psychichousewife', 'paranormalinvestigation', 'psychicmedium']"
2019-03-14 15:26:50,The Internet is back but you can still subscribe to https://t.co/NSVwQdgFfm #instagramdown #facebookdown #craftbeer #beerblog,PatrickBenedict,"['instagramdown', 'facebookdown', 'craftbeer', 'beerblog']"
2019-03-14 15:26:45,"#Savior An amazing message for Jammu kashmir The Savior of humanity has descended to earth. Do you know about him. If not then read Gyan Ganga. If you want to get it free then write your name, address and mobile number in comment box. #facebookdown  #instagramdown  #WhatsappDown https://t.co/ZTg9vKSGSh",narendra_Sen_,"['Savior', 'facebookdown', 'instagramdown', 'WhatsappDown']"
2019-03-14 15:25:13,Facebook and Instagram are down... Guess we'll have to enjoy the outdoors then! 🌾 #FacebookDown #InstagramDown #OutdoorsUp 📷 IG @rickycrow https://t.co/94wKRH41NV,Disc_NewZealand,"['FacebookDown', 'InstagramDown', 'OutdoorsUp']"
2019-03-14 15:25:02,Did you feel the pain 🙈😜 https://t.co/6h5V5K7N6f  #endoftheworld #instagramdown #whatsappdown #FacebookDown,darrengalvinuk,"['endoftheworld', 'instagramdown', 'whatsappdown', 'FacebookDown']"
